ticker,name,sector
AAPL,Apple,Technology
MSFT,Microsoft,Technology
NVDA,NVIDIA,Technology
GOOGL,Alphabet,Communication Services
GOOG,Alphabet,Communication Services
AMZN,Amazon,Consumer Discretionary
META,Meta Platforms,Communication Services
TSLA,Tesla,Consumer Discretionary
AVGO,Broadcom,Technology
AMD,Advanced Micro Devices,Technology
NFLX,Netflix,Communication Services
ADBE,Adobe,Technology
CRM,Salesforce,Technology
ORCL,Oracle,Technology
INTC,Intel,Technology
CSCO,Cisco,Technology
QCOM,Qualcomm,Technology
TXN,Texas Instruments,Technology
MU,Micron,Technology
AMAT,Applied Materials,Technology
LRCX,Lam Research,Technology
KLAC,KLA,Technology
MRVL,Marvell,Technology
PLTR,Palantir,Technology
SNOW,Snowflake,Technology
CRWD,CrowdStrike,Technology
PANW,Palo Alto Networks,Technology
ZS,Zscaler,Technology
NET,Cloudflare,Technology
DDOG,Datadog,Technology
MDB,MongoDB,Technology
SHOP,Shopify,Technology
SQ,Block,Technology
PYPL,PayPal,Financials
COIN,Coinbase,Financials
HOOD,Robinhood,Financials
JPM,JPMorgan Chase,Financials
BAC,Bank of America,Financials
WFC,Wells Fargo,Financials
GS,Goldman Sachs,Financials
MS,Morgan Stanley,Financials
C,Citigroup,Financials
V,Visa,Financials
MA,Mastercard,Financials
AXP,American Express,Financials
BLK,BlackRock,Financials
SCHW,Charles Schwab,Financials
BRK.B,Berkshire Hathaway,Financials
UNH,UnitedHealth,Health Care
JNJ,Johnson & Johnson,Health Care
LLY,Eli Lilly,Health Care
PFE,Pfizer,Health Care
MRK,Merck,Health Care
ABBV,AbbVie,Health Care
ABT,Abbott,Health Care
TMO,Thermo Fisher,Health Care
DHR,Danaher,Health Care
ISRG,Intuitive Surgical,Health Care
VRTX,Vertex,Health Care
REGN,Regeneron,Health Care
GILD,Gilead,Health Care
AMGN,Amgen,Health Care
BMY,Bristol-Myers Squibb,Health Care
NVO,Novo Nordisk,Health Care
XOM,Exxon Mobil,Energy
CVX,Chevron,Energy
COP,ConocoPhillips,Energy
EOG,EOG Resources,Energy
SLB,Schlumberger,Energy
OXY,Occidental,Energy
MPC,Marathon Petroleum,Energy
PSX,Phillips 66,Energy
WMT,Walmart,Consumer Staples
COST,Costco,Consumer Staples
PG,Procter & Gamble,Consumer Staples
KO,Coca-Cola,Consumer Staples
PEP,PepsiCo,Consumer Staples
PM,Philip Morris,Consumer Staples
MO,Altria,Consumer Staples
MDLZ,Mondelez,Consumer Staples
HD,Home Depot,Consumer Discretionary
LOW,Lowe's,Consumer Discretionary
NKE,Nike,Consumer Discretionary
SBUX,Starbucks,Consumer Discretionary
MCD,McDonald's,Consumer Discretionary
CMG,Chipotle,Consumer Discretionary
TGT,Target,Consumer Discretionary
DIS,Disney,Communication Services
T,AT&T,Communication Services
VZ,Verizon,Communication Services
TMUS,T-Mobile US,Communication Services
CMCSA,Comcast,Communication Services
BA,Boeing,Industrials
CAT,Caterpillar,Industrials
DE,Deere,Industrials
GE,GE Aerospace,Industrials
HON,Honeywell,Industrials
RTX,RTX,Industrials
LMT,Lockheed Martin,Industrials
UPS,UPS,Industrials
FDX,FedEx,Industrials
UNP,Union Pacific,Industrials
F,Ford,Consumer Discretionary
GM,General Motors,Consumer Discretionary
RIVN,Rivian,Consumer Discretionary
LCID,Lucid,Consumer Discretionary
NIO,NIO,Consumer Discretionary
BABA,Alibaba,Consumer Discretionary
JD,JD.com,Consumer Discretionary
PDD,PDD Holdings,Consumer Discretionary
UBER,Uber,Industrials
LYFT,Lyft,Industrials
ABNB,Airbnb,Consumer Discretionary
DASH,DoorDash,Consumer Discretionary
SPOT,Spotify,Communication Services
ROKU,Roku,Communication Services
PINS,Pinterest,Communication Services
SNAP,Snap,Communication Services
RBLX,Roblox,Communication Services
U,Unity,Communication Services
EA,Electronic Arts,Communication Services
TTWO,Take-Two Interactive,Communication Services
SMCI,Super Micro Computer,Technology
ARM,Arm Holdings,Technology
SOFI,SoFi,Financials
AFRM,Affirm,Financials
NOW,ServiceNow,Technology
HLIT,Harmonic,Technology
HIMS,Hims & Hers Health,Health Care
IREN,IREN Limited,Technology
NBIS,Nebius Group,Technology
BE,Bloom Energy,Industrials
SQQQ,ProShares UltraPro Short QQQ,ETF
TQQQ,ProShares UltraPro QQQ,ETF
SPY,SPDR S&P 500,ETF
QQQ,Invesco QQQ,ETF
IWM,iShares Russell 2000,ETF
DIA,SPDR Dow Jones,ETF
VOO,Vanguard S&P 500,ETF
VTI,Vanguard Total Stock,ETF
XLK,Technology Select,ETF
XLF,Financial Select,ETF
XLE,Energy Select,ETF
XLV,Health Care Select,ETF
XLY,Consumer Discretionary Select,ETF
XLP,Consumer Staples Select,ETF
XLU,Utilities Select,ETF
XLI,Industrial Select,ETF
XLB,Materials Select,ETF
XLRE,Real Estate Select,ETF
XLC,Communication Services Select,ETF
SMH,VanEck Semiconductor,ETF
SOXX,iShares Semiconductor,ETF
ARKK,ARK Innovation,ETF
GLD,SPDR Gold,ETF
SLV,iShares Silver,ETF
USO,United States Oil,ETF
UNG,United States Natural Gas,ETF
TLT,iShares 20+ Year Treasury,ETF
HYG,iShares High Yield,ETF
VIX,CBOE Volatility Index,Index
UVXY,ProShares Ultra VIX,ETF
VXX,iPath VIX Short-Term,ETF
